Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-28 09:30:00-04:00,429.8500061035156,430.82000732421875,427.1000061035156,428.3500061035156,2054228,0.0,0.0
2024-05-28 09:45:00-04:00,428.3900146484375,428.6600036621094,426.62799072265625,428.0050048828125,890026,0.0,0.0
2024-05-28 10:00:00-04:00,428.0,429.9100036621094,427.6200866699219,428.69000244140625,650394,0.0,0.0
2024-05-28 10:15:00-04:00,428.68499755859375,429.05999755859375,428.1300048828125,428.45001220703125,462338,0.0,0.0
2024-05-28 10:30:00-04:00,428.3800048828125,428.79998779296875,428.0199890136719,428.57000732421875,452977,0.0,0.0
2024-05-28 10:45:00-04:00,428.6000061035156,428.6199951171875,427.7701110839844,428.5799865722656,401626,0.0,0.0
2024-05-28 11:00:00-04:00,428.6205139160156,429.32000732421875,428.260009765625,428.9700012207031,342723,0.0,0.0
2024-05-28 11:15:00-04:00,428.95269775390625,429.2037048339844,428.32159423828125,428.44000244140625,260726,0.0,0.0
2024-05-28 11:30:00-04:00,428.4599914550781,428.80999755859375,427.9800109863281,428.6300048828125,289332,0.0,0.0
2024-05-28 11:45:00-04:00,428.635009765625,428.8699951171875,428.2699890136719,428.42498779296875,404990,0.0,0.0
2024-05-28 12:00:00-04:00,428.4800109863281,428.8900146484375,428.3399963378906,428.8900146484375,309428,0.0,0.0
2024-05-28 12:15:00-04:00,428.8900146484375,428.9482116699219,428.4949951171875,428.9100036621094,247226,0.0,0.0
2024-05-28 12:30:00-04:00,428.8900146484375,429.0899963378906,428.739990234375,428.8500061035156,193991,0.0,0.0
2024-05-28 12:45:00-04:00,428.8450012207031,429.1499938964844,428.7004089355469,428.7900085449219,209844,0.0,0.0
2024-05-28 13:00:00-04:00,428.8299865722656,429.0,428.4100036621094,428.8900146484375,249292,0.0,0.0
2024-05-28 13:15:00-04:00,428.8900146484375,429.31781005859375,428.876708984375,429.0599060058594,176147,0.0,0.0
2024-05-28 13:30:00-04:00,429.0350036621094,429.3500061035156,428.8399963378906,429.1300964355469,186291,0.0,0.0
2024-05-28 13:45:00-04:00,429.1400146484375,429.1400146484375,428.42498779296875,428.7301025390625,235002,0.0,0.0
2024-05-28 14:00:00-04:00,428.739990234375,429.3399963378906,428.54998779296875,429.2380065917969,207132,0.0,0.0
2024-05-28 14:15:00-04:00,429.2200012207031,429.2200012207031,428.5465087890625,428.7200012207031,266254,0.0,0.0
2024-05-28 14:30:00-04:00,428.7200012207031,428.75,428.0400085449219,428.1401062011719,410785,0.0,0.0
2024-05-28 14:45:00-04:00,428.1549987792969,428.8999938964844,427.9200134277344,428.82000732421875,371180,0.0,0.0
2024-05-28 15:00:00-04:00,428.80999755859375,429.1499938964844,428.6199951171875,428.9599914550781,888451,0.0,0.0
2024-05-28 15:15:00-04:00,428.94000244140625,429.5899963378906,428.7699890136719,428.8299865722656,379634,0.0,0.0
2024-05-28 15:30:00-04:00,428.82000732421875,429.2699890136719,428.7799987792969,428.8598937988281,325833,0.0,0.0
2024-05-28 15:45:00-04:00,428.8399963378906,430.4599914550781,428.52978515625,430.32000732421875,1339546,0.0,0.0
2024-05-29 09:30:00-04:00,425.82000732421875,428.45001220703125,425.75,427.57501220703125,1439447,0.0,0.0
